player_id,rounds_played,win_rounds,loss_rounds
7,106,69,37
15,12,8,4
17,19,10,9
21,3,2,1
29,61,39,22
35,40,26,14
37,1,1,0
38,14,7,7
39,50,33,17
41,40,25,15
44,67,37,30
62,18,13,5
77,2,2,0
136,56,31,25
147,39,28,11
150,21,9,12
153,12,4,8
156,6,2,4
159,1,0,1
161,61,36,25
163,7,3,4
165,72,50,22
168,22,14,8
169,14,7,7
170,25,12,13
174,1,1,0
175,4,2,2
177,33,19,14
180,64,36,28
192,2,1,1
199,6,2,4
203,65,49,16
205,1,1,0
217,2,1,1
251,3,2,1
269,2,1,1
284,10,7,3
302,30,10,20
303,1,0,1
317,72,40,32
329,27,12,15
330,28,18,10
334,89,57,32
338,90,55,35
339,62,41,21
351,1,1,0
356,21,11,10
365,4,3,1
373,17,11,6
414,5,3,2
429,61,32,29
434,12,10,2
438,9,7,2
472,56,29,27
483,57,31,26
484,48,32,16
499,75,51,24
515,3,2,1
545,117,81,36
547,10,5,5
554,2,0,2
555,19,8,11
556,26,15,11
557,51,29,22
558,29,17,12
566,4,2,2
603,11,5,6
610,8,6,2
614,16,10,6
616,2,1,1
624,14,10,4
625,6,5,1
627,9,6,3
629,46,30,16
630,19,12,7
633,4,3,1
634,4,2,2
635,3,2,1
642,4,4,0
646,33,18,15
662,2,1,1
684,1,1,0
695,77,51,26
713,2,2,0
731,4,2,2
735,62,36,26
736,1,0,1
737,11,9,2
742,1,0,1
751,4,0,4
752,4,3,1
775,2,1,1
781,3,0,3
798,54,39,15
818,1,1,0
823,8,4,4
839,71,42,29
840,29,17,12
848,5,2,3
850,2,1,1
884,52,37,15
885,42,24,18
909,1,0,1
912,25,16,9
921,28,18,10
922,75,44,31
931,1,0,1
957,20,14,6
964,55,31,24
965,5,3,2
971,2,1,1
972,13,8,5
973,75,43,32
976,1,1,0
993,1,0,1
1007,12,4,8
1022,6,1,5
1023,17,10,7
1030,7,5,2
1038,4,4,0
1044,5,3,2
1045,35,22,13
1052,5,2,3
1055,12,8,4
1064,67,37,30
1083,13,7,6
1084,1,1,0
1085,1,0,1
1088,29,17,12
1095,6,2,4
1139,2,1,1
1140,2,2,0
1146,47,26,21
1147,2,0,2
1150,2,2,0
1154,7,3,4
1159,3,1,2
1199,1,0,1
1200,20,11,9
1206,16,6,10
1215,3,2,1
1225,69,48,21
1275,2,1,1
1276,5,4,1
1278,23,15,8
1287,3,1,2
1327,1,1,0
1328,28,15,13
1331,22,10,12
1343,1,0,1
1378,17,9,8
1386,2,1,1
1453,2,1,1
1480,1,0,1
1481,1,0,1
1485,62,34,28
1544,2,2,0
1554,2,1,1
1556,1,1,0
1560,6,2,4
1572,10,5,5
1573,4,2,2
1583,2,2,0
1603,1,0,1
1638,3,3,0
1646,6,2,4
1648,5,4,1
1649,5,3,2
1657,3,1,2
1658,4,3,1
1659,7,4,3
1672,3,2,1
1715,1,0,1
1831,2,1,1
1865,12,12,0
1866,54,32,22
1868,36,21,15
1883,29,18,11
1889,35,23,12
1915,67,28,39
1916,53,26,27
1923,1,0,1
1925,27,17,10
1944,5,1,4
1946,5,3,2
1947,7,4,3
1950,69,45,24
1964,50,31,19
1978,1,1,0
1982,1,1,0
1997,1,1,0
2000,2,1,1
2003,1,1,0
2007,12,7,5
2023,81,50,31
2031,25,19,6
2047,20,14,6
2054,4,1,3
2066,5,3,2
2096,2,1,1
2113,5,4,1
2121,3,0,3
2131,84,53,31
2148,54,36,18
2157,6,4,2
2161,11,6,5
2193,1,0,1
2199,4,4,0
2213,11,8,3
2218,4,3,1
2219,8,3,5
2236,1,0,1
2237,3,0,3
2238,1,1,0
2241,28,18,10
2264,2,1,1
2279,5,4,1
2283,17,8,9
2284,43,21,22
2285,30,22,8
2292,22,13,9
2299,2,1,1
2304,2,1,1
2326,3,0,3
2335,2,1,1
2339,1,1,0
2346,1,0,1
2391,3,3,0
2393,4,1,3
2398,8,6,2
2407,3,3,0
2425,19,11,8
2469,82,62,20
2476,15,10,5
2480,2,0,2
2482,4,4,0
2486,2,1,1
2492,21,13,8
2496,14,6,8
2517,13,8,5
2527,3,2,1
2528,1,0,1
2529,21,17,4
2531,15,8,7
2532,32,24,8
2553,83,55,28
2555,34,24,10
2563,6,1,5
2587,4,3,1
2617,3,2,1
2618,1,0,1
2644,77,45,32
2648,6,2,4
2709,1,1,0
2714,4,1,3
2715,1,1,0
2717,1,1,0
2718,10,6,4
2730,75,44,31
2732,3,2,1
2757,45,21,24
2767,2,2,0
2775,5,3,2
2794,2,0,2
2799,116,77,39
2822,12,9,3
2826,51,34,17
2834,6,3,3
2851,6,4,2
2858,19,9,10
2868,1,0,1
2881,8,6,2
2982,1,1,0
2985,15,9,6
