player_id,total_opening_kills,total_opening_deaths,opening_kill_rating,team_win_percent_after_first_kill,first_kill_in_won_rounds
1,40,46,0.95,72.5%,13.7%
2,4,6,0.8,75.0%,8.3%
7,2262,1831,1.1,77.5%,17.9%
11,14,15,0.99,78.6%,17.5%
13,3,6,0.78,66.7%,15.4%
15,176,156,1.07,71.6%,17.8%
17,136,132,1.02,75.7%,16.6%
18,6,7,0.99,100.0%,24.0%
20,7,10,1.03,28.6%,11.1%
21,37,40,0.91,75.7%,11.1%
28,0,0,0.67,N/A,0.0%
29,3105,2296,1.13,78.9%,17.1%
31,42,49,0.89,85.7%,10.4%
34,23,44,0.83,73.9%,16.3%
35,389,495,0.88,73.5%,10.8%
37,69,109,0.79,75.4%,8.0%
38,257,245,1.0,75.8%,14.6%
39,2816,2297,1.06,78.8%,15.0%
41,1832,2236,0.91,75.8%,11.3%
44,788,686,1.09,70.7%,17.0%
50,27,14,1.15,81.5%,20.0%
51,3,0,1.35,66.7%,33.3%
58,254,255,0.95,76.4%,12.0%
62,124,135,0.89,66.1%,9.9%
77,319,342,0.88,78.8%,10.2%
86,4,5,0.93,75.0%,25.0%
92,303,363,0.94,74.4%,12.9%
102,247,249,0.89,73.4%,10.0%
105,2,8,0.59,50.0%,8.3%
109,3,7,0.74,33.3%,7.7%
113,7,8,1.17,57.1%,36.4%
114,57,76,0.93,73.7%,15.6%
128,771,726,1.06,73.5%,16.3%
136,755,1058,0.83,70.7%,8.8%
137,60,94,0.8,75.0%,9.8%
146,52,82,0.8,75.0%,9.2%
147,191,232,0.9,69.1%,10.5%
150,391,371,1.05,73.9%,16.3%
151,2,2,0.79,50.0%,3.6%
153,327,387,0.92,73.2%,12.5%
156,136,211,0.78,80.3%,7.3%
157,127,165,0.87,71.7%,9.9%
158,10,14,0.83,70.0%,11.7%
159,9,14,0.85,66.7%,12.8%
161,2575,2447,0.97,75.3%,12.6%
162,278,298,0.88,80.2%,9.9%
163,685,773,0.9,74.0%,11.0%
165,2874,2898,1.0,74.4%,13.9%
168,186,149,1.13,72.7%,19.5%
169,70,86,0.84,74.3%,8.5%
170,191,156,1.05,69.6%,15.1%
174,31,33,1.06,71.0%,17.2%
175,17,37,0.76,88.2%,11.7%
177,368,321,1.17,72.8%,21.4%
180,843,608,1.18,78.1%,18.5%
192,36,31,1.08,63.9%,15.1%
194,33,66,0.77,63.6%,7.9%
196,19,2,1.49,78.9%,23.4%
199,51,68,0.86,64.7%,10.8%
200,117,141,0.82,73.5%,7.9%
201,101,173,0.85,64.4%,11.8%
203,1361,1289,1.01,76.2%,14.0%
205,20,15,0.96,70.0%,10.9%
212,60,61,1.16,80.0%,22.0%
216,36,41,1.03,75.0%,21.3%
217,3,8,0.68,66.7%,4.1%
224,7,15,0.72,71.4%,7.1%
233,5,4,1.06,80.0%,26.7%
234,5,7,0.86,60.0%,15.0%
239,27,31,0.99,70.4%,17.0%
244,5,8,0.79,100.0%,12.2%
245,92,104,0.95,77.4%,15.0%
251,55,56,0.98,69.1%,12.5%
269,44,52,1.01,72.7%,18.8%
274,16,20,0.99,75.0%,18.2%
284,91,87,1.02,74.7%,16.8%
286,1,3,0.67,100.0%,5.0%
299,10,13,0.91,20.0%,9.5%
300,21,29,0.9,66.7%,11.2%
301,370,418,0.93,76.5%,12.4%
302,1790,1616,0.97,74.6%,12.6%
303,877,935,0.96,76.7%,13.2%
305,11,11,0.98,75.0%,18.0%
311,3,12,0.59,100.0%,15.0%
312,26,41,0.91,65.4%,13.1%
316,17,5,1.22,88.2%,18.8%
317,3496,3209,1.11,76.7%,18.3%
318,7,11,0.79,75.0%,7.5%
322,292,349,0.9,68.8%,11.9%
329,818,778,1.1,69.4%,18.3%
330,555,552,0.97,73.8%,14.6%
332,21,22,1.0,81.0%,17.9%
333,17,28,0.8,47.1%,7.5%
334,2140,2192,1.01,75.3%,15.2%
335,3,0,1.42,66.7%,50.0%
338,1794,1665,0.93,75.5%,11.5%
339,3582,3653,1.11,73.2%,19.1%
342,2,4,0.78,50.0%,7.7%
344,8,17,0.75,75.0%,9.4%
349,18,27,0.94,50.0%,15.0%
351,7,15,0.72,71.4%,6.0%
352,4,5,0.82,25.0%,7.1%
353,9,25,0.69,88.9%,13.3%
356,449,472,1.06,73.3%,17.5%
365,295,343,0.96,69.5%,15.2%
373,226,207,0.88,73.1%,9.2%
381,2,7,0.64,50.0%,7.1%
383,4,11,0.69,75.0%,21.4%
389,3,6,0.78,0.0%,0.0%
414,71,96,0.94,60.6%,13.4%
424,4,7,0.8,50.0%,12.5%
429,2362,2489,1.02,75.7%,15.3%
433,34,22,0.87,73.5%,7.7%
434,403,446,0.99,70.0%,14.5%
438,549,494,1.15,75.3%,20.0%
458,6,6,1.1,50.0%,21.4%
472,1462,1879,0.91,74.9%,13.1%
474,6,5,0.99,66.7%,9.3%
476,38,29,1.02,78.9%,17.5%
477,11,9,1.15,72.7%,21.1%
478,107,143,0.98,67.3%,21.1%
480,7,10,0.89,57.1%,10.5%
483,2262,2163,1.01,74.9%,14.3%
484,2070,2280,0.96,74.6%,13.3%
497,5,7,0.89,80.0%,14.3%
499,842,1020,0.9,68.6%,11.3%
513,2,4,0.75,50.0%,11.1%
514,12,20,0.79,41.7%,5.9%
515,405,336,1.14,69.9%,20.4%
518,36,45,0.86,55.6%,7.3%
526,13,13,1.0,84.6%,19.0%
536,27,39,0.83,70.4%,9.8%
541,98,123,0.99,69.7%,16.0%
543,19,23,0.93,57.9%,14.9%
545,1671,1642,1.03,74.1%,15.3%
547,342,413,0.96,70.8%,14.2%
551,5,8,0.92,40.0%,14.3%
552,4,3,1.06,50.0%,33.3%
554,1,4,0.64,0.0%,0.0%
555,205,192,1.06,75.6%,16.1%
556,190,225,0.97,75.8%,15.5%
557,789,758,1.02,75.7%,14.1%
558,172,160,1.0,72.8%,14.3%
566,76,94,0.97,64.5%,14.8%
574,10,18,0.79,70.0%,8.3%
603,199,179,1.05,67.8%,16.0%
604,123,158,0.92,68.5%,14.2%
607,302,326,0.98,67.5%,14.8%
608,27,56,0.77,63.0%,10.6%
610,99,99,1.04,67.7%,16.0%
611,64,77,0.93,76.6%,13.5%
614,68,80,0.94,73.5%,14.0%
616,2,0,1.02,50.0%,8.3%
624,280,204,1.14,76.8%,18.5%
625,91,172,0.8,68.1%,10.5%
627,77,78,0.95,79.2%,12.9%
628,34,38,0.97,73.5%,15.2%
629,1672,1479,1.14,73.4%,19.8%
630,868,891,0.99,71.5%,15.3%
632,70,72,0.9,71.4%,10.6%
633,27,33,0.88,81.5%,11.3%
634,5,4,0.84,60.0%,7.0%
635,72,61,1.18,75.0%,20.5%
638,106,139,0.96,76.4%,18.0%
639,19,22,0.9,55.0%,10.8%
641,45,69,0.81,66.7%,9.1%
