player_id,kills,deaths,kill_round,rounds_with_kills
1,222,329,0.51,159
2,35,40,0.47,21
7,12718,12299,0.67,8714
11,98,102,0.71,63
13,31,38,0.69,21
15,1141,1086,0.73,730
17,857,936,0.65,608
18,35,46,0.61,27
20,16,38,0.32,12
21,222,323,0.46,173
28,0,3,0.0,0
29,20058,16023,0.8,13071
31,391,370,0.67,268
34,168,189,0.67,106
35,3170,3514,0.6,2250
37,687,860,0.54,505
38,1706,1739,0.65,1196
39,20849,15995,0.8,13561
41,13738,14803,0.61,9721
44,4760,4450,0.72,3178
50,176,165,0.77,119
51,13,17,0.59,8
58,1937,1933,0.65,1357
62,1117,1263,0.63,807
77,3102,3163,0.65,2150
86,27,39,0.61,18
92,2057,2169,0.62,1423
102,2356,2460,0.63,1636
105,22,40,0.5,15
109,27,37,0.6,16
113,21,38,0.49,14
114,372,437,0.63,259
128,5125,4641,0.75,3351
136,6598,8179,0.55,4808
137,590,809,0.56,425
146,413,676,0.45,320
147,1552,1580,0.64,1089
150,2305,2487,0.67,1567
151,29,34,0.53,22
153,2210,2649,0.57,1569
156,1453,1959,0.49,1078
157,1006,1186,0.56,726
158,83,123,0.49,55
159,64,85,0.55,46
161,20061,19195,0.7,13674
162,2564,2575,0.62,1815
163,5596,6095,0.62,3990
165,20006,19076,0.69,13500
168,967,977,0.66,674
169,745,787,0.63,513
170,1230,1178,0.68,852
174,184,169,0.72,120
175,132,180,0.52,98
177,1829,1822,0.71,1249
180,4855,3869,0.78,3226
192,174,226,0.56,129
194,286,414,0.52,204
196,71,78,0.63,53
199,408,542,0.56,298
200,1367,1550,0.59,978
201,647,848,0.55,463
203,9962,9141,0.73,6646
205,178,172,0.7,125
212,290,300,0.72,197
216,189,235,0.62,132
217,44,92,0.38,38
224,97,146,0.53,76
233,26,40,0.55,17
234,39,47,0.57,24
239,147,197,0.57,100
244,54,65,0.58,40
245,633,718,0.63,438
251,497,392,0.85,307
269,258,281,0.67,167
274,98,102,0.68,65
284,654,603,0.75,411
286,27,31,0.69,19
299,54,102,0.46,43
300,123,188,0.51,93
301,2626,2903,0.6,1878
302,13874,14047,0.67,9618
303,6306,6357,0.65,4325
305,70,88,0.59,47
311,35,55,0.51,22
312,159,188,0.62,110
316,108,93,0.78,72
317,20137,18933,0.73,13356
318,98,86,0.71,67
322,2516,2685,0.66,1716
329,4365,4452,0.68,2972
330,3908,4307,0.64,2751
332,124,156,0.6,90
333,148,235,0.5,110
334,14509,13804,0.71,9708
335,12,18,0.6,8
338,15566,15074,0.67,10698
339,19021,18693,0.71,12691
342,12,20,0.41,10
344,84,99,0.62,61
349,91,137,0.55,61
351,62,125,0.35,48
352,36,68,0.46,28
353,99,124,0.6,62
356,2507,2630,0.67,1710
365,2072,2368,0.66,1417
373,2465,2405,0.68,1683
381,17,54,0.27,13
383,30,57,0.48,23
389,29,35,0.67,21
414,526,521,0.73,341
424,23,53,0.36,17
429,14508,14887,0.67,9893
433,449,429,0.68,320
434,2572,2869,0.65,1742
438,2855,2708,0.71,1890
458,33,36,0.72,25
472,10242,12478,0.59,7253
474,45,41,0.68,32
476,255,298,0.63,188
477,66,58,0.8,44
478,545,781,0.58,380
480,44,64,0.53,31
483,16113,14888,0.72,10857
484,14715,15117,0.67,10208
497,43,41,0.7,30
499,6565,7344,0.62,4603
513,18,36,0.44,15
514,122,155,0.58,84
515,2234,2106,0.73,1470
518,331,352,0.61,237
526,84,98,0.65,55
536,269,310,0.61,186
541,550,616,0.62,388
543,131,176,0.61,89
545,10941,10299,0.7,7327
547,2268,2558,0.64,1571
551,18,36,0.39,15
552,19,35,0.5,14
554,41,61,0.54,32
555,1259,1227,0.71,852
556,1130,1400,0.59,784
557,5618,4976,0.74,3798
558,1330,1208,0.74,902
566,450,546,0.61,319
574,65,114,0.41,51
603,1185,1318,0.65,823
604,820,1049,0.59,592
607,1958,2214,0.64,1357
608,234,311,0.58,161
610,614,666,0.69,402
611,405,510,0.55,300
614,493,535,0.65,343
616,16,17,0.57,12
624,1806,1537,0.81,1133
625,681,946,0.54,502
627,565,635,0.62,390
628,180,267,0.51,135
629,8895,8542,0.71,5912
630,6100,6255,0.7,4127
632,592,675,0.6,418
633,244,260,0.66,164
634,73,79,0.68,52
635,379,336,0.75,253
638,545,720,0.54,392
639,148,188,0.58,100
641,451,542,0.59,307
642,114,170,0.5,85
645,225,291,0.57,158
646,1990,1785,0.74,1305
655,68,51,0.87,44
662,179,178,0.7,127
668,27,35,0.61,19
680,75,72,0.7,52
684,650,661,0.67,443
691,707,785,0.63,488
