team_id,team_name,country
6178,Australia,Australia
6538,Groovy,Colombia
4444,Blight,Denmark
6862,Bananaboys,Norway
7066,ASDF,Australia
6567,Imagination,"South Africa"
6438,SoF,"United States"
7158,"Pro Era",Estonia
7042,"Hong Kong","Hong Kong"
6842,Plantronics,Sweden
6068,"Free Transfer",Denmark
5824,RatsOfTheYear,Finland
6396,ExAequo,Italy
5899,"HLTV.org Staff",Europe
6519,PUZZLES,China
6303,China,China
7324,ENZO,"Hong Kong"
6586,"Viva Algeria",Algeria
5903,"SLTV Staff",Ukraine
6487,TamuluS,Korea
4863,TyLoo,China
6307,Vietnam,Vietnam
4998,"Team suNny",Finland
6453,NoobTubers,Europe
6440,UESmash,Estonia
6956,AIMERZZ,Algeria
6206,Colombia,Colombia
6383,"CSGOEvo White",Germany
4741,TCM-Gaming,Germany
7243,.Norway,Norway
6723,Devcat,China
7051,"Force of Nature",Chile
6271,USA,"United States"
7009,MeMyself&I,Europe
7273,"Shukufuku Sunshine",Singapore
6773,VG.CyberZen,China
6728,Raepmashaekel,Sweden
5865,"3DMAX fe",France
4997,"Team allu",Finland
6621,g3x,Brazil
5133,Sweden,Sweden
7248,GEX,Iran
7080,Wololos,Spain
7149,Swift,"United Arab Emirates"
4467,VeryGames,France
7019,"ex-CPH Wolves",Denmark
5139,Denmark,Denmark
7014,TEAM1231,Serbia
6379,"Animal Squad",Australia
5013,Orange,Malaysia
7268,.Russia,Russia
5158,Bravado,"South Africa"
5449,"NO SIR!",Denmark
5138,Russia,Russia
6290,Luminosity,Brazil
6840,Aquiver.RED,Denmark
6392,"All-Star Dragon",Other
5142,France,France
7068,"The Working Men","United Kingdom"
4411,NiP,Sweden
4808,"Crystal-Serv fe",France
6879,"doyoueven fe",Europe
7010,Immortals,Brazil
6855,Fragsters,Denmark
7027,mixbanan,Sweden
6503,CyberZen,China
5890,"Na`Vi Staff",Ukraine
7054,Jordan,Jordan
7041,UAE,"United Arab Emirates"
5090,"Party Daddlers",Germany
5634,"dRiim's team",Finland
6578,"Play It Cool All-Stars",Sweden
6485,autocracy,Korea
