player_id,sniper_kill,rifle_kills,pistol_kills,grenade,other
1,8,164,41,3,6
2,0,23,9,0,4
7,7086,2497,2271,187,682
11,17,58,16,3,4
13,5,20,4,0,2
15,613,196,211,29,94
17,58,520,179,10,93
18,0,27,6,1,1
20,5,5,6,0,0
21,17,134,43,5,23
28,0,0,0,0,0
29,2491,13136,3387,180,867
31,29,250,74,12,26
34,0,118,40,3,7
35,17,2283,503,59,311
37,2,488,106,16,75
38,410,826,344,29,98
39,300,15280,2923,296,2052
41,98,10509,1949,255,931
44,1279,2239,846,62,340
50,4,117,47,2,6
51,1,9,2,0,1
58,10,1572,256,54,45
62,3,818,218,24,57
77,49,2433,457,62,101
86,0,17,9,1,0
92,209,1328,363,38,119
102,10,1824,392,53,77
105,0,17,5,0,0
109,4,16,7,0,0
113,0,10,5,0,6
114,31,236,75,6,24
128,114,3788,819,84,320
136,35,4533,1058,114,863
137,21,445,93,8,23
146,1,297,78,6,31
147,97,1008,333,17,101
150,82,1607,432,24,165
151,0,22,6,0,1
153,390,1172,416,50,183
156,25,1186,181,30,31
157,34,762,148,14,48
158,1,65,13,1,3
159,0,51,11,1,1
161,76,15546,3269,143,1030
162,31,1947,385,51,150
163,54,4255,827,115,345
165,2047,12631,3414,393,1527
168,497,255,151,6,60
169,15,553,115,5,57
170,672,220,204,16,121
174,58,56,41,1,28
175,0,94,14,4,21
177,681,685,304,18,143
180,1781,1216,889,70,906
192,27,102,22,0,23
194,2,200,58,6,20
196,14,45,8,1,3
199,72,203,87,12,34
200,6,1055,196,29,81
201,4,480,122,9,32
203,162,7462,1627,184,536
205,3,121,29,2,23
212,13,216,47,3,11
216,0,157,30,1,1
217,0,31,8,0,5
224,0,77,14,2,4
233,11,9,6,0,0
234,1,30,8,0,0
239,23,79,31,3,11
244,4,33,8,2,7
245,158,310,135,14,16
251,33,269,125,3,67
269,111,85,54,0,9
274,1,75,18,3,1
284,5,494,114,9,33
286,8,12,4,0,3
299,0,35,17,1,1
300,42,31,28,1,21
301,10,1903,374,69,270
302,846,10048,2246,171,568
303,640,4348,1104,103,111
305,6,45,15,0,4
311,0,24,9,1,1
312,0,116,30,6,7
316,6,39,12,2,49
317,3371,11412,3494,391,1479
318,2,65,17,6,8
322,30,1881,456,58,91
329,1128,1969,904,113,260
330,577,2332,706,73,222
332,25,67,22,5,5
333,0,106,32,0,10
334,232,10763,2446,227,847
335,1,9,1,0,1
338,1475,10571,2475,288,763
339,386,14093,3055,265,1225
342,0,8,1,0,3
344,14,47,20,3,0
349,0,73,12,3,3
351,0,41,15,3,3
352,0,26,7,1,2
353,1,67,17,0,14
356,139,1681,505,40,144
365,6,1524,329,27,186
373,15,1777,487,26,163
381,0,11,6,0,0
383,9,12,7,0,2
389,9,9,8,0,3
414,15,367,100,10,34
424,0,18,3,0,2
429,2559,7944,2258,190,1564
433,0,347,55,23,24
434,212,1844,395,26,95
438,1570,639,507,33,107
458,0,25,8,0,0
472,44,7831,1668,81,617
474,2,28,8,0,7
476,45,144,51,4,11
477,24,30,9,0,3
478,60,327,116,7,35
480,0,35,9,0,0
483,454,11980,2502,141,1038
484,233,10834,2339,254,1058
497,5,20,17,1,0
499,382,4242,1239,117,588
513,7,5,6,0,0
514,1,95,23,2,1
515,818,770,476,39,131
518,3,204,83,21,20
526,0,70,11,0,3
536,0,201,51,4,13
541,156,229,135,4,26
543,1,89,38,1,2
545,157,8120,1751,204,718
547,44,1619,441,14,152
551,0,12,6,0,0
552,0,11,7,0,1
554,0,27,8,2,4
555,58,857,191,20,136
556,4,800,218,23,89
557,109,4067,987,106,353
558,89,862,221,28,134
566,61,280,80,3,26
574,0,51,10,1,3
603,372,509,234,12,59
604,47,545,176,14,38
607,6,1470,394,18,70
608,1,179,50,0,4
610,17,366,111,10,110
611,138,191,69,6,1
614,0,365,98,11,22
616,2,10,2,0,2
624,90,1154,323,37,205
625,1,481,118,20,63
627,23,329,99,13,102
628,0,128,28,9,15
629,2859,3879,1461,104,599
630,8,4681,1092,85,235
632,4,454,102,13,19
633,7,186,34,4,14
634,0,57,12,1,3
635,126,151,63,7,32
638,151,272,84,7,31
639,0,120,24,3,1
641,1,358,69,4,19
642,3,80,20,4,7
645,16,113,40,3,53
646,496,918,407,32,140
655,1,58,8,0,1
662,2,129,25,3,20
668,2,14,10,0,1
680,0,58,8,0,9
684,83,405,93,25,44
691,21,518,119,12,37
694,527,409,193,18,76
695,6149,4880,2601,249,1164
713,6,2157,523,31,181
714,36,218,58,8,20
730,1,196,35,4,3
731,0,143,35,2,9
735,402,11718,2708,232,917
736,87,650,178,9,15
737,795,1484,560,71,111
742,31,7,11,0,3
744,0,38,10,1,4
751,10,227,57,6,63
752,5,147,44,8,22
762,183,918,239,29,95
763,0,4,0,0,1
768,14,228,48,7,3
769,24,57,22,1,18
771,0,12,10,0,2
775,30,50,30,0,5
781,37,206,52,2,12
798,3960,1969,1497,92,647
815,3,17,5,3,1
818,0,268,57,7,25
820,0,30,8,1,1
822,5,139,52,2,25
823,18,6714,1399,105,472
838,3,9,1,0,8
839,140,2982,851,45,638
840,45,643,197,15,74
848,17,150,40,7,19
850,15,172,34,4,29
875,1,94,18,2,4
884,188,14362,2883,217,907
885,2208,8690,2924,204,865
890,4,1486,335,17,96
897,2,11,10,0,1
909,0,75,25,0,30
912,75,658,157,17,241
921,178,3929,989,114,595
922,1360,3491,1102,69,807
928,0,84,24,0,9
930,0,25,7,0,1
931,17,38,13,0,2
957,10,1426,376,18,115
958,1,10,6,0,0
960,15,22,9,1,6
963,1,24,3,0,2
964,4121,2562,1604,118,507
965,44,300,63,4,44
969,2,59,9,0,7
970,4,528,118,15,14
971,24,2856,629,57,214
972,307,1137,346,19,101
973,3810,4211,2109,192,1031
976,71,196,55,5,14
980,0,32,13,2,7
992,0,12,4,0,2
993,1,105,35,2,10
994,14,36,10,0,19
997,14,203,49,2,10
1003,50,140,41,5,0
1007,11,2518,495,46,193
1011,1,8,1,0,0
1022,23,1366,307,23,144
1023,10,1629,402,38,286
1030,18,734,168,23,66
1037,2,62,18,3,1
1038,43,234,82,1,37
1040,63,1709,485,56,180
1044,79,1559,342,31,65
1045,2169,3947,1591,112,674
1046,0,126,23,4,7
1047,0,176,26,8,8
1052,41,115,40,0,12
1055,40,518,145,2,54
1064,90,6827,1390,126,410
1067,0,14,6,0,0
1083,441,1754,523,63,162
1084,0,7,3,0,6
1085,17,1335,284,19,53
1088,2055,494,762,42,51
1095,7,1062,274,7,74
1104,18,331,89,10,32
1129,2,24,5,0,0
1135,0,71,16,4,6
1136,0,36,7,2,3
1139,79,251,85,6,32
1140,2,484,112,8,62
1146,954,6270,1775,109,579
1147,67,449,115,10,56
1150,5,11,7,0,3
1154,40,1044,226,16,45
1159,78,748,177,18,54
1186,0,27,8,2,7
1187,23,13,8,0,4
1197,3,291,63,9,17
1199,7,7,7,0,5
1200,134,816,237,15,81
1204,3,84,22,0,15
1206,42,1268,372,29,110
1214,0,188,38,4,11
1215,31,284,72,3,16
1225,1951,12441,3399,148,1450
1248,63,181,64,8,9
1261,0,28,8,0,0
1263,2,19,2,1,2
1267,21,17,16,0,10
1269,10,20,8,2,2
1273,1,312,66,13,25
1275,4,692,149,8,84
1276,105,817,178,9,151
1278,6,1514,290,51,152
1287,29,218,38,7,36
1290,0,228,72,3,4
1297,0,29,4,0,1
1306,3,164,64,3,21
1312,0,263,49,11,23
1320,0,52,18,0,14
1322,54,41,21,2,7
1327,43,112,28,2,45
1328,11,2526,582,56,317
1331,1560,1781,908,59,172
1337,3,100,32,0,11
1341,1,92,18,2,7
1343,4,571,122,12,50
1357,0,113,22,7,6
1358,0,88,23,1,10
1374,0,13,1,0,0
1378,24,1028,226,34,113
1386,111,331,104,13,80
1394,0,85,11,2,4
1422,1,24,6,2,3
1427,0,131,15,4,10
1429,56,271,67,6,14
1431,44,177,52,1,1
1432,1,16,6,0,3
1436,0,26,8,0,0
1441,7,88,16,1,6
1453,0,44,5,0,7
1465,0,21,4,1,2
1468,0,13,2,1,3
1480,2,296,68,3,12
1481,42,149,63,7,12
1485,457,7157,1942,62,608
1510,0,319,63,6,22
1523,0,64,29,2,17
1524,18,250,51,7,22
1527,0,85,13,2,21
1544,18,155,33,5,9
1554,33,529,126,13,44
1556,243,85,93,11,20
1558,2,217,38,5,0
1560,0,696,170,17,33
1561,40,148,49,3,0
1572,402,670,325,20,136
1573,47,77,33,3,10
1583,1,459,93,9,56
1603,5,75,23,4,6
1618,0,205,45,7,12
1619,6,88,25,2,5
1632,0,72,16,2,1
1638,0,436,97,14,67
1646,9,1200,316,16,167
1648,36,442,91,3,22
1649,1,600,159,8,51
